Strassen: N: 1, Time: 0.000001
Normal: N: 1, Time: 0.000000
Strassen: N: 2, Time: 0.000001
Normal: N: 2, Time: 0.000001
Strassen: N: 4, Time: 0.000001
Normal: N: 4, Time: 0.000001
Strassen: N: 8, Time: 0.000002
Normal: N: 8, Time: 0.000002
Strassen: N: 16, Time: 0.000008
Normal: N: 16, Time: 0.000006
Strassen: N: 32, Time: 0.000051
Normal: N: 32, Time: 0.000049
Strassen: N: 64, Time: 0.000469
Normal: N: 64, Time: 0.000493
Strassen: N: 128, Time: 0.003307
Normal: N: 128, Time: 0.004427
Strassen: N: 256, Time: 0.019228
Normal: N: 256, Time: 0.024924
Strassen: N: 512, Time: 0.095885
Normal: N: 512, Time: 0.163478
Strassen: N: 1024, Time: 0.686288
Normal: N: 1024, Time: 1.858827
Strassen: N: 2048, Time: 5.134905
Normal: N: 2048, Time: 48.648544
